age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,previous,poutcome,emp_var_rate,cons_price_index,cons_conf_index,lending_rate3m,nr_employed,target,_pdays_followup,_pdays_recent
25,blue-collar,married,basic.9y,no,yes,yes,telephone,may,tue,274,1,0,nonexistent,1.1,97.56,-37.96,4.73,5216.95,0,False,False
29,self-employed,married,basic.6y,unknown,no,yes,cellular,sep,thu,353,5,0,nonexistent,1.1,92.86,-34.94,5.06,5263.67,1,False,False
45,blue-collar,divorced,basic.6y,no,unknown,unknown,telephone,jun,thu,569,9,3,failure,1.4,89.09,-41.84,3.4,4964.33,0,False,False
41,technician,single,university.degree,no,yes,yes,cellular,nov,fri,41,0,0,nonexistent,-0.1,93.47,-40.32,4.03,4982.77,0,False,False
43,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,wed,4684,2,1,nonexistent,1.1,90.76,-36.42,3.27,5045.03,0,False,False
36,technician,single,university.degree,no,no,no,telephone,jun,tue,197,1,0,nonexistent,1.4,93.04,-43.38,5.15,5426.76,0,False,False
28,management,single,university.degree,no,no,no,telephone,jun,tue,349,1,0,nonexistent,1.4,93.8,-42.42,4.65,5076.48,0,False,False
30,blue-collar,married,university.degree,no,no,no,telephone,may,thu,563,12,0,nonexistent,1.1,96.15,-37.49,4.9,4978.16,0,False,False
56,retired,married,high.school,no,yes,no,cellular,aug,fri,1705,9,5,success,1.4,95.71,-31.26,3.17,5266.82,0,False,False
32,self-employed,married,university.degree,no,no,no,cellular,may,fri,738,1,1,failure,-1.8,94.1,-47.77,1.3,5211.28,1,False,False
50,management,married,basic.6y,no,no,no,cellular,nov,mon,211,1,1,failure,-3.4,95.7,-29.85,0.69,4821.81,1,False,False
51,blue-collar,married,basic.9y,unknown,yes,no,cellular,nov,wed,54,0,1,failure,-0.1,94.03,-43.59,4.1,4961.98,0,False,False
48,technician,divorced,professional.course,no,yes,no,cellular,jul,mon,261,2,1,success,-1.7,95.81,-39.13,0.89,5121.38,1,True,False
55,technician,married,high.school,no,yes,no,cellular,jul,tue,188,3,0,nonexistent,1.4,96.54,-40.73,4.77,5489.5,0,False,False
35,management,single,university.degree,no,no,yes,cellular,nov,mon,207,0,0,nonexistent,-0.1,94.5,-42.2,4.27,5071.1,0,False,False
38,technician,single,university.degree,no,yes,yes,cellular,jun,thu,1891,1,6,failure,-1.7,96.36,-41.76,3.6,5158.59,0,False,False
72,student,single,high.school,no,yes,unknown,cellular,jun,tue,359,8,0,nonexistent,1.4,96.17,-43.46,4.81,5228.1,1,False,False
44,entrepreneur,married,high.school,no,yes,no,cellular,may,fri,8,9,0,nonexistent,-1.8,91.4,-46.29,1.2,5017.51,0,False,False
31,technician,married,professional.course,no,no,no,telephone,jun,wed,697,0,3,failure,1.4,89.98,-36.86,4.49,5228.48,0,False,False
54,services,married,high.school,unknown,yes,no,cellular,jul,mon,35,33,0,nonexistent,1.4,90.34,-44.45,5.13,5066.02,0,False,False
38,blue-collar,single,basic.9y,no,yes,no,telephone,may,fri,1090,1,5,nonexistent,1.1,93.58,-35.22,1.18,4948.98,0,False,False
36,blue-collar,married,basic.9y,no,yes,no,cellular,nov,thu,3669,3,5,failure,-0.1,89.61,-44.4,1.33,4733.21,0,False,False
47,housemaid,married,basic.4y,no,no,no,cellular,aug,mon,69,2,0,nonexistent,1.4,91.85,-37.61,4.75,5400.62,0,False,False
40,admin.,married,high.school,no,no,yes,telephone,may,mon,16,0,0,nonexistent,1.1,90.51,-37.52,4.79,5071.6,0,False,False
35,blue-collar,married,professional.course,no,yes,yes,telephone,may,thu,2875,1,2,success,1.1,94.65,-35.31,2.27,5177.42,0,False,False
31,admin.,single,university.degree,no,yes,no,cellular,apr,thu,3691,0,4,failure,-1.8,93.28,-43.76,3.48,5101.74,0,False,False
61,management,married,university.degree,no,no,no,cellular,aug,fri,3978,3,5,nonexistent,1.4,91.54,-29.75,4.31,5182.08,0,False,False
28,admin.,single,high.school,no,yes,no,telephone,apr,mon,3979,2,1,nonexistent,-1.8,96.25,-43.29,3.89,4919.69,0,False,False
30,admin.,single,university.degree,no,yes,no,cellular,aug,wed,2627,1,6,failure,1.4,94.09,-45.31,0.76,4979.47,0,False,False
36,management,married,university.degree,no,no,yes,cellular,may,tue,244,1,0,nonexistent,-1.8,94.65,-46.66,1.4,5185.78,0,False,False
31,blue-collar,married,high.school,no,no,no,cellular,apr,mon,197,0,0,nonexistent,-1.8,93.54,-45.35,1.47,5267.37,0,False,False
41,technician,married,university.degree,unknown,no,no,telephone,may,wed,1034,1,5,success,1.1,89.79,-47.29,4.81,5001.03,0,False,False
90,management,married,basic.6y,no,unknown,no,cellular,apr,fri,354,19,0,nonexistent,1.4,91.85,-43.25,4.98,5018.97,0,False,False
35,admin.,married,high.school,no,yes,yes,cellular,apr,fri,340,0,0,nonexistent,-1.8,95.49,-46.11,1.4,4992.01,0,False,False
40,technician,single,professional.course,no,yes,no,cellular,nov,wed,186,0,1,failure,-0.1,95.71,-40.69,4.28,5320.49,0,False,False
27,technician,single,university.degree,no,no,no,cellular,aug,wed,99,1,0,nonexistent,1.4,92.5,-37.21,4.93,5060.8,0,False,False
39,services,married,high.school,no,yes,yes,cellular,may,tue,205,0,0,nonexistent,-1.8,95.12,-44.21,1.33,5195.98,0,False,False
48,unemployed,married,basic.4y,unknown,yes,no,cellular,apr,fri,71,0,0,nonexistent,-1.8,88.88,-47.99,1.38,5226.57,0,False,False
27,management,unknown,basic.4y,no,no,unknown,telephone,jul,wed,4439,4,3,failure,-1.8,94.33,-47.93,0.95,5260.95,0,False,False
29,management,single,high.school,no,no,no,cellular,nov,tue,74,0,0,nonexistent,-0.1,95.62,-42.75,4.06,5029.53,0,False,False
95,admin.,married,basic.6y,yes,unknown,no,telephone,dec,mon,3238,23,1,success,-1.8,91.98,-39.67,1.69,5006.59,0,False,False
23,student,single,unknown,no,yes,no,cellular,aug,fri,1422,1,1,success,-2.9,93.99,-38.01,2.52,4997.93,1,False,False
45,management,married,university.degree,no,no,yes,telephone,may,wed,101,5,0,nonexistent,1.1,93.52,-36.76,4.66,5253.29,0,False,False
59,retired,married,high.school,no,yes,no,cellular,jul,fri,1514,16,0,nonexistent,1.4,96.17,-40.86,5.06,5228.1,1,False,False
38,management,married,university.degree,no,no,yes,cellular,may,thu,3596,1,2,failure,-1.8,94.41,-39.19,2.67,4716.26,0,False,False
36,technician,married,professional.course,no,no,yes,cellular,jul,mon,304,2,5,failure,1.4,93.21,-50.37,4.25,4992.48,0,False,False
24,admin.,single,high.school,no,yes,no,cellular,apr,wed,434,1,0,nonexistent,-1.8,91.67,-45.31,1.34,5144.99,1,False,False
32,self-employed,married,university.degree,no,no,no,cellular,may,fri,190,0,0,nonexistent,-1.8,97.53,-44.62,1.34,5144.99,0,False,False
86,unemployed,single,illiterate,no,no,yes,telephone,jul,tue,113,11,0,nonexistent,1.4,91.38,-42.01,4.83,5311.74,1,False,False
53,blue-collar,married,high.school,no,no,no,telephone,jun,mon,4090,1,2,failure,1.4,91.84,-30.66,3.32,4985.58,0,False,False
28,services,single,high.school,no,yes,yes,telephone,may,tue,192,1,5,success,1.1,90.26,-37.44,4.93,4753.54,0,False,False
32,admin.,married,university.degree,no,no,no,cellular,may,thu,358,2,0,nonexistent,-1.8,89.54,-47.03,1.25,5139.89,0,False,False
98,retired,single,basic.4y,no,unknown,yes,cellular,dec,tue,61,23,0,nonexistent,-0.1,89.19,-42.92,4.02,5252.95,0,False,False
24,technician,single,university.degree,no,no,no,cellular,jul,fri,2012,2,6,failure,-1.7,93.42,-51.83,0.65,4796.11,0,False,False
95,admin.,single,university.degree,yes,unknown,no,cellular,jun,thu,162,15,0,nonexistent,-1.8,92.42,-48.51,1.32,5333.65,1,False,False
69,housemaid,unknown,basic.9y,unknown,unknown,yes,telephone,apr,wed,4187,12,2,success,1.4,96.74,-32.06,1.24,5194.27,0,False,False
44,unemployed,married,basic.4y,no,yes,yes,telephone,jun,fri,243,1,3,success,1.4,97.43,-47.55,1.21,5045.53,0,False,False
45,blue-collar,divorced,basic.6y,unknown,no,no,cellular,apr,wed,3783,5,2,nonexistent,-1.8,97.89,-36.11,2.07,5267.08,0,False,False
41,technician,married,professional.course,no,no,no,cellular,aug,tue,180,1,0,nonexistent,1.4,90.73,-36.06,5.1,5463.36,0,False,False
44,management,married,university.degree,no,yes,no,cellular,apr,thu,137,1,0,nonexistent,-1.8,94.28,-47.99,1.4,4997.11,0,False,False
37,admin.,single,university.degree,no,yes,no,cellular,jul,thu,430,6,1,success,1.4,92.19,-38.25,4.03,5401.55,0,False,False
28,blue-collar,married,basic.9y,unknown,no,no,telephone,jun,fri,335,1,0,nonexistent,1.4,97.67,-43.47,4.97,5348.34,0,False,False
41,blue-collar,single,basic.9y,no,no,no,telephone,jul,thu,1164,3,6,success,1.4,94.06,-48.66,1.7,5145.38,0,False,False
30,admin.,single,high.school,no,yes,no,cellular,aug,tue,195,1,0,nonexistent,1.4,92.88,-35.73,4.8,5296.06,0,False,False
27,services,single,high.school,no,yes,no,cellular,may,fri,84,4,0,nonexistent,-1.8,97.35,-45.92,1.35,4976.72,0,False,False
37,blue-collar,married,basic.6y,unknown,no,no,cellular,jul,tue,62,3,0,nonexistent,1.4,90.25,-41.8,4.75,5437.22,0,False,False
39,blue-collar,married,basic.6y,unknown,unknown,unknown,telephone,jun,mon,137,2,0,nonexistent,1.4,92.1,-42.13,4.98,5092.16,0,False,False
33,unemployed,married,high.school,no,yes,no,cellular,nov,thu,586,1,0,nonexistent,-0.1,89.47,-39.98,4.16,5024.33,1,False,False
26,blue-collar,single,basic.6y,unknown,no,no,cellular,jul,tue,187,4,0,nonexistent,1.4,94.48,-44.45,4.88,5045.11,0,False,False
31,admin.,married,high.school,no,no,no,telephone,may,thu,314,0,0,nonexistent,1.1,95.68,-37.49,4.8,5414.21,0,False,False
33,blue-collar,single,basic.9y,unknown,no,no,cellular,may,mon,127,3,0,nonexistent,-1.8,97.53,-43.98,1.26,5175.58,0,False,False
45,blue-collar,married,basic.9y,unknown,unknown,unknown,telephone,may,wed,4523,0,0,failure,1.1,92.5,-26.18,3.54,5073.26,0,False,False
36,admin.,married,university.degree,no,yes,no,telephone,may,mon,239,2,0,nonexistent,1.1,93.71,-37.12,4.67,5061.22,0,False,False
32,housemaid,divorced,high.school,no,no,no,telephone,may,fri,553,2,0,nonexistent,1.1,92.58,-35.74,5.1,5351.92,1,False,False
50,management,married,university.degree,no,yes,no,cellular,nov,tue,111,1,0,nonexistent,-0.1,88.72,-43.34,4.17,5159.42,0,False,False
58,unemployed,married,basic.9y,no,yes,no,cellular,mar,mon,2513,1,3,failure,-1.8,93.27,-30.09,2.81,4994.0,1,False,False
53,blue-collar,married,basic.4y,no,yes,no,cellular,aug,fri,347,2,0,nonexistent,1.4,94.84,-34.98,4.78,5254.24,0,False,False
34,services,married,high.school,no,no,yes,telephone,may,fri,627,1,0,nonexistent,1.1,89.29,-35.74,4.88,5066.41,0,False,False
35,admin.,single,university.degree,no,yes,no,cellular,may,mon,72,0,1,failure,-1.8,95.02,-45.13,1.31,5012.41,0,False,False
52,admin.,divorced,high.school,no,yes,no,cellular,jul,fri,94,3,0,nonexistent,1.4,91.94,-41.58,4.96,5228.1,0,False,False
31,services,married,high.school,no,no,no,cellular,nov,wed,381,2,4,failure,-0.1,94.87,-36.62,3.5,5202.25,0,False,False
37,blue-collar,married,basic.9y,unknown,no,no,telephone,jun,tue,1317,0,0,nonexistent,1.4,93.27,-30.8,2.98,5135.55,0,False,False
34,technician,married,high.school,no,no,no,telephone,jul,thu,109,5,0,nonexistent,1.4,91.19,-44.53,4.84,5102.62,0,False,False
27,services,single,high.school,no,yes,no,cellular,may,mon,2449,8,3,nonexistent,-1.8,96.72,-36.92,4.17,5157.84,0,False,False
28,blue-collar,single,high.school,no,yes,no,cellular,may,wed,4059,0,3,failure,-1.8,94.83,-37.25,4.02,4953.12,1,False,False
36,services,married,high.school,no,yes,no,cellular,may,fri,79,2,1,failure,-1.8,92.14,-44.67,1.22,5318.36,0,False,False
34,technician,single,professional.course,unknown,yes,no,cellular,jul,thu,109,5,0,nonexistent,1.4,97.86,-42.74,5.02,5369.25,0,False,False
44,management,married,professional.course,no,yes,no,telephone,may,tue,1372,0,6,failure,1.1,91.47,-43.47,2.77,5093.09,0,False,False
29,admin.,single,high.school,no,no,yes,cellular,jul,mon,4423,2,3,nonexistent,1.4,95.51,-34.35,3.69,5349.26,0,False,False
32,technician,single,professional.course,no,yes,no,cellular,aug,wed,293,0,0,nonexistent,1.4,90.36,-35.08,5.04,5452.9,0,False,False
39,blue-collar,married,basic.9y,no,yes,no,cellular,jul,wed,216,8,0,nonexistent,1.4,93.91,-44.45,4.81,5280.38,0,False,False
48,technician,married,professional.course,no,no,no,cellular,aug,wed,490,1,0,nonexistent,1.4,92.69,-36.71,5.2,5364.03,0,False,False
23,services,single,high.school,no,no,no,telephone,may,tue,186,1,0,nonexistent,1.1,93.24,-35.89,4.9,5403.83,0,False,False
26,admin.,single,high.school,no,no,no,telephone,aug,fri,3966,1,0,nonexistent,-1.7,91.01,-38.29,0.88,5056.49,0,False,False
44,admin.,married,basic.9y,no,yes,no,cellular,may,mon,173,1,5,failure,-1.8,98.12,-52.13,1.3,5177.03,0,False,False
35,self-employed,divorced,basic.4y,no,yes,no,telephone,jun,thu,797,0,0,nonexistent,1.4,90.16,-29.33,4.95,5136.31,0,False,False
36,admin.,single,university.degree,no,no,no,cellular,aug,mon,98,2,0,nonexistent,1.4,94.37,-34.9,4.99,4982.37,0,False,False
47,services,married,high.school,no,no,no,cellular,nov,tue,3102,1,5,failure,-0.1,97.31,-31.09,0.74,5001.66,0,False,False
28,blue-collar,single,basic.6y,no,no,no,cellular,jul,fri,231,0,6,success,1.4,98.44,-39.93,2.42,4986.5,0,False,False
34,blue-collar,married,basic.9y,no,yes,no,cellular,jul,wed,1075,3,5,nonexistent,1.4,96.55,-47.63,4.33,5120.81,0,False,False
27,admin.,married,high.school,no,yes,no,telephone,may,tue,1618,1,2,failure,1.1,89.6,-48.46,3.66,5274.27,0,False,False
32,admin.,single,university.degree,no,yes,no,cellular,apr,thu,84,1,0,nonexistent,-1.8,95.49,-46.53,1.35,4961.42,0,False,False
58,admin.,divorced,high.school,unknown,no,no,cellular,may,fri,316,3,1,failure,-1.8,94.37,-44.21,1.23,4879.83,0,False,False
57,retired,married,university.degree,unknown,yes,no,cellular,aug,mon,169,0,0,nonexistent,1.4,89.23,-35.37,4.75,5055.57,0,False,False
36,technician,single,university.degree,no,yes,no,cellular,may,tue,445,2,0,nonexistent,-1.8,95.12,-43.89,1.32,5012.41,0,False,False
20,student,single,high.school,no,yes,no,cellular,oct,fri,153,1,0,nonexistent,-3.4,91.96,-26.65,0.7,4766.62,1,False,False
40,entrepreneur,married,high.school,no,yes,no,telephone,jun,thu,1754,0,1,nonexistent,1.4,93.89,-46.93,3.97,5429.84,0,False,False
31,blue-collar,married,basic.9y,no,no,no,telephone,jun,fri,192,11,0,nonexistent,1.4,93.99,-43.34,4.85,5086.94,0,False,False
36,admin.,married,university.degree,no,yes,no,telephone,jun,fri,11,2,0,nonexistent,1.4,96.44,-40.83,4.97,5201.95,0,False,False
57,entrepreneur,married,basic.4y,no,no,no,cellular,nov,mon,107,2,0,nonexistent,-0.1,89.84,-40.61,4.25,5195.8,0,False,False
28,admin.,single,high.school,no,yes,yes,telephone,jun,thu,14,10,0,nonexistent,1.4,98.52,-43.38,4.91,5452.9,0,False,False
36,admin.,married,professional.course,no,yes,yes,cellular,aug,fri,147,4,0,nonexistent,1.4,95.59,-37.0,4.95,5353.57,0,False,False
35,technician,single,high.school,no,yes,no,cellular,apr,thu,44,1,0,nonexistent,-1.8,88.79,-48.84,1.39,5201.08,0,False,False
29,technician,single,high.school,no,yes,no,telephone,may,wed,2079,4,0,failure,-1.8,97.52,-33.39,4.49,4980.37,0,False,False
44,blue-collar,married,basic.4y,unknown,yes,yes,telephone,may,fri,309,1,0,nonexistent,1.1,90.14,-36.14,4.8,5362.3,0,False,False
81,student,married,professional.course,no,no,no,cellular,nov,mon,554,2,0,nonexistent,1.4,90.34,-43.72,5.11,5018.97,0,False,False
34,admin.,single,university.degree,no,yes,no,cellular,aug,thu,1064,1,6,failure,-2.9,92.66,-49.4,4.47,4789.58,0,False,False
35,admin.,single,university.degree,no,no,no,cellular,aug,fri,119,1,0,nonexistent,1.4,90.36,-34.33,5.18,5243.78,0,False,False
36,services,married,high.school,unknown,yes,no,cellular,may,wed,393,1,1,failure,-1.8,92.33,-48.14,1.26,5037.91,0,False,False
28,admin.,married,unknown,no,no,no,cellular,jul,mon,213,6,0,nonexistent,1.4,90.91,-40.99,4.93,5113.08,0,False,False
37,self-employed,married,basic.9y,unknown,no,no,telephone,may,mon,228,0,0,nonexistent,1.1,91.55,-36.61,4.74,5035.26,0,False,False
46,services,single,basic.9y,no,yes,no,cellular,apr,mon,16,5,0,nonexistent,-1.8,94.37,-47.14,1.46,5109.29,0,False,False
63,technician,married,unknown,no,no,no,cellular,mar,mon,99,2,2,success,-1.8,97.75,-33.44,0.66,4993.67,1,False,True
39,blue-collar,married,basic.4y,no,no,no,telephone,jun,tue,5007,5,1,nonexistent,1.4,93.96,-36.11,1.81,4815.94,0,False,False
37,technician,married,professional.course,unknown,yes,no,cellular,aug,fri,4286,7,3,success,1.4,97.77,-33.86,0.92,5193.31,0,False,False
31,admin.,single,high.school,no,no,no,cellular,jun,fri,3059,2,6,success,-2.9,98.68,-32.5,2.33,4852.08,0,False,False
52,admin.,married,high.school,no,no,no,cellular,may,tue,3856,3,5,nonexistent,-1.8,91.19,-31.29,4.46,5084.2,0,False,False
40,blue-collar,single,basic.9y,no,no,no,telephone,may,tue,4910,3,6,failure,1.1,91.16,-46.14,2.02,4915.57,1,False,False
46,technician,married,university.degree,unknown,yes,no,cellular,aug,mon,2208,0,5,failure,1.4,95.52,-42.49,1.96,5272.25,0,False,False
51,management,divorced,high.school,no,unknown,unknown,telephone,may,mon,1251,3,0,nonexistent,1.1,94.46,-30.48,3.63,5170.52,0,False,False
48,services,married,high.school,no,no,yes,telephone,may,tue,144,1,0,nonexistent,1.1,92.77,-37.81,4.72,5196.19,0,False,False
59,self-employed,married,university.degree,unknown,unknown,unknown,telephone,jul,mon,676,1,0,nonexistent,1.4,91.66,-41.46,4.75,5086.94,0,False,False
39,admin.,married,university.degree,no,yes,no,cellular,may,mon,170,2,0,nonexistent,-1.8,95.67,-47.72,1.29,4946.12,0,False,False
41,entrepreneur,married,basic.9y,no,yes,no,cellular,apr,fri,1916,1,6,nonexistent,-1.8,97.5,-48.92,1.96,5093.12,0,False,False
38,services,divorced,high.school,no,yes,no,cellular,apr,wed,1317,1,6,success,-1.8,92.11,-41.0,2.23,5055.59,0,False,False
49,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,wed,210,2,0,nonexistent,1.1,95.59,-37.71,4.62,5300.01,0,False,False
33,student,single,university.degree,no,no,no,cellular,aug,thu,886,0,4,nonexistent,1.4,94.2,-43.83,3.19,5155.9,0,False,False
24,blue-collar,married,basic.9y,no,no,no,telephone,jul,mon,174,0,0,nonexistent,1.4,98.61,-44.45,5.19,5405.85,0,False,False
48,technician,married,university.degree,no,yes,no,cellular,aug,wed,566,1,0,nonexistent,1.4,91.48,-36.38,4.89,5364.03,0,False,False
42,technician,single,professional.course,no,yes,no,telephone,may,fri,4532,1,3,nonexistent,1.1,95.63,-40.56,4.72,4906.92,0,False,False
56,housemaid,married,basic.4y,no,no,no,cellular,jul,wed,189,1,0,nonexistent,1.4,97.95,-42.78,5.11,5264.69,0,False,False
41,management,married,basic.9y,no,no,no,telephone,jul,thu,91,1,0,nonexistent,1.4,94.1,-42.61,5.14,5259.46,0,False,False
31,admin.,single,university.degree,no,yes,no,telephone,jun,thu,327,0,0,nonexistent,-1.7,93.86,-41.79,0.72,5071.46,0,False,False
57,technician,married,professional.course,no,yes,no,telephone,may,fri,1442,1,0,nonexistent,1.1,95.21,-37.78,4.75,5320.77,0,False,False
59,unknown,married,unknown,yes,no,no,cellular,oct,wed,3570,22,1,success,1.4,97.63,-29.51,0.66,5125.84,1,False,False
45,admin.,married,university.degree,no,no,no,cellular,jul,tue,2516,2,6,nonexistent,1.4,90.0,-28.42,3.23,5126.34,0,False,False
