id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_index,cons_conf_index,lending_rate3m,nr_employed,subscribe,predicted,predicted_prob,true_label
3329,27,housemaid,married,university.degree,unknown,unknown,no,telephone,sep,thu,319,46,1016,0,nonexistent,-2.9,89.7,-38.88,1.24,4847.77,no,1,0.709857,0
18718,39,technician,married,university.degree,no,yes,yes,cellular,dec,wed,340,1,32,6,failure,-3.0,93.38,-39.8,1.69,5353.35,yes,0,0.45204216,1
18058,27,services,married,high.school,no,no,no,cellular,jul,thu,600,2,997,0,nonexistent,1.4,91.94,-42.82,5.14,4977.15,yes,0,0.19833569,1
20436,53,blue-collar,married,basic.4y,no,yes,yes,cellular,may,thu,674,1,1022,0,nonexistent,-1.8,91.31,-47.67,1.21,4859.44,yes,0,0.40042022,1
6516,31,admin.,single,professional.course,no,yes,yes,cellular,may,thu,1858,0,205,5,nonexistent,-1.8,90.96,-27.45,2.38,4834.83,yes,0,0.16088979,1
12618,45,admin.,married,university.degree,no,yes,no,cellular,dec,tue,3699,55,162,3,nonexistent,1.4,96.36,-31.76,2.45,4900.36,yes,0,0.16906884,1
8944,58,retired,married,professional.course,unknown,no,yes,cellular,jul,tue,1787,4,1007,0,nonexistent,1.4,95.51,-40.77,4.75,5264.69,no,1,0.53616285,0
19242,59,retired,married,basic.4y,no,yes,no,cellular,apr,wed,4633,4,649,2,nonexistent,-1.8,94.69,-46.2,1.3,5459.13,yes,0,0.42747226,1
14544,44,services,single,unknown,yes,unknown,unknown,telephone,jul,wed,1200,29,170,6,success,1.4,95.84,-41.25,1.27,4785.1,yes,0,0.34217122,1
13135,32,self-employed,single,university.degree,no,no,yes,telephone,nov,tue,86,1,990,0,nonexistent,-3.4,88.01,-29.67,0.69,5067.67,yes,0,0.07849392,1
17400,31,technician,married,high.school,no,no,no,cellular,may,fri,843,2,929,0,success,-1.8,88.89,-52.34,1.22,5186.46,no,1,0.50918674,0
21369,25,admin.,single,university.degree,no,no,no,cellular,nov,fri,365,5,2,1,success,-3.4,97.0,-30.67,0.68,4907.11,no,1,0.848869,0
16189,49,housemaid,unknown,university.degree,yes,yes,unknown,telephone,jul,wed,144,23,1035,0,nonexistent,1.4,94.48,-43.76,5.13,5154.9,no,1,0.5199544,0
5750,37,admin.,divorced,high.school,no,yes,no,cellular,nov,wed,852,0,1045,0,nonexistent,-0.1,90.87,-41.58,4.3,5013.94,yes,0,0.3149947,1
15623,19,student,single,high.school,no,no,no,cellular,nov,wed,134,1,1002,3,failure,-3.4,90.33,-30.49,0.72,5082.72,yes,0,0.34454754,1
9304,71,unknown,single,illiterate,unknown,yes,yes,telephone,dec,mon,14,42,1025,0,nonexistent,-1.8,97.35,-47.17,1.19,5078.7,yes,0,0.36342514,1
7579,67,retired,married,basic.4y,no,yes,no,telephone,oct,fri,3895,1,978,1,failure,-1.1,94.99,-47.08,2.96,5060.31,yes,0,0.29956108,1
12622,35,management,divorced,university.degree,no,no,no,cellular,aug,mon,2602,3,956,5,nonexistent,1.4,91.99,-33.27,4.59,5342.87,yes,0,0.08969735,1
11649,87,unemployed,divorced,basic.6y,no,yes,no,telephone,jul,thu,4013,52,856,0,failure,1.1,91.24,-28.12,2.45,5232.67,yes,0,0.3107778,1
10024,40,management,single,university.degree,no,yes,no,cellular,apr,fri,3984,1,472,1,nonexistent,-1.8,96.68,-46.96,1.97,5293.21,yes,0,0.118569836,1
5772,22,student,divorced,basic.6y,no,yes,unknown,cellular,apr,fri,147,52,1042,0,nonexistent,-1.8,90.94,-47.03,1.32,4864.54,no,1,0.5515023,0
11889,31,admin.,single,high.school,unknown,no,no,cellular,jul,mon,572,2,997,0,nonexistent,1.4,93.91,-40.86,5.0,5311.74,yes,0,0.15366712,1
1636,82,retired,married,university.degree,no,no,no,cellular,aug,fri,974,2,109,1,success,-2.9,90.7,-31.6,2.01,5144.82,no,1,0.5099618,0
15400,30,admin.,single,university.degree,no,yes,no,cellular,nov,thu,477,0,1020,0,nonexistent,-0.1,97.39,-41.16,4.07,5445.19,yes,0,0.10313866,1
4203,31,admin.,single,university.degree,no,yes,no,cellular,jun,thu,106,1,3,2,success,-2.9,95.38,-40.35,1.28,5213.25,no,1,0.6316745,0
12404,31,technician,divorced,professional.course,no,no,no,cellular,mar,tue,120,2,961,0,nonexistent,-1.8,95.81,-49.55,1.61,5114.39,no,1,0.5351096,0
15269,30,admin.,married,high.school,no,yes,no,cellular,jun,wed,333,0,9,1,success,-2.9,93.05,-42.55,1.2,4888.38,no,1,0.6180685,0
19703,97,unemployed,single,illiterate,yes,unknown,unknown,telephone,oct,thu,217,34,2,3,success,-3.4,89.12,-30.64,0.72,5107.81,no,1,0.79141885,0
12781,49,housemaid,unknown,basic.4y,no,yes,no,telephone,dec,thu,155,12,1037,0,nonexistent,1.4,95.59,-41.25,4.86,5316.97,yes,0,0.3391767,1
16488,33,blue-collar,married,basic.9y,no,no,no,cellular,nov,thu,606,1,1008,0,nonexistent,-0.1,90.31,-43.47,4.18,5221.77,yes,0,0.2517595,1
13226,39,blue-collar,single,basic.9y,no,yes,no,cellular,may,wed,2421,1,672,3,success,-1.8,90.41,-48.47,4.32,5066.58,yes,0,0.05521064,1
867,29,self-employed,unknown,illiterate,no,no,yes,telephone,apr,fri,638,28,976,0,nonexistent,1.4,93.99,-43.34,5.1,5133.99,no,1,0.6735204,0
6847,33,admin.,married,university.degree,no,no,yes,telephone,may,fri,1634,1,1002,0,nonexistent,1.1,93.61,-37.3,4.66,5019.69,yes,0,0.14226125,1
7699,28,unemployed,single,unknown,no,yes,no,cellular,nov,wed,607,1,110,1,nonexistent,-0.1,94.05,-42.36,1.09,5129.13,yes,0,0.19185068,1
15848,25,admin.,single,university.degree,no,yes,no,cellular,apr,thu,232,1,1045,0,nonexistent,-1.8,94.0,-47.57,1.4,5206.18,yes,0,0.40193328,1
19176,40,blue-collar,single,basic.9y,no,no,yes,cellular,may,wed,557,0,1003,0,nonexistent,-1.8,90.66,-45.78,1.38,5073.6,yes,0,0.23612915,1
424,28,admin.,married,university.degree,no,no,no,telephone,may,fri,4669,0,24,5,nonexistent,1.1,94.98,-45.77,3.49,5064.6,yes,0,0.037734248,1
15919,24,blue-collar,single,basic.9y,no,yes,no,cellular,jun,wed,86,2,325,5,nonexistent,-2.9,89.38,-45.01,3.13,5166.92,yes,0,0.22904772,1
4505,47,admin.,single,high.school,no,no,no,cellular,apr,thu,3690,1,644,4,nonexistent,-1.8,90.21,-39.7,1.77,5227.64,yes,0,0.18901825,1
6865,33,technician,single,university.degree,unknown,no,no,telephone,may,wed,874,0,975,0,nonexistent,1.1,92.86,-35.96,4.7,5331.15,yes,0,0.3483837,1
6317,39,management,divorced,university.degree,no,no,no,telephone,oct,mon,158,9,983,0,nonexistent,-3.4,92.89,-26.87,0.71,4907.11,yes,0,0.25393212,1
12793,64,management,divorced,high.school,no,no,no,cellular,aug,mon,1114,0,542,5,failure,-2.9,94.66,-30.72,3.25,5233.92,yes,0,0.43283808,1
22195,44,admin.,divorced,university.degree,no,no,no,telephone,apr,fri,265,4,1008,0,nonexistent,-1.8,96.84,-33.94,0.66,5214.05,yes,0,0.28294945,1
12556,74,retired,married,university.degree,no,yes,yes,cellular,aug,wed,238,3,1012,0,nonexistent,-2.9,95.7,-32.18,0.89,5050.81,yes,0,0.4165772,1
15260,34,admin.,married,high.school,unknown,no,no,cellular,may,fri,4030,1,99,0,nonexistent,-1.8,95.72,-40.55,0.77,5250.88,yes,0,0.16523875,1
7572,32,admin.,married,university.degree,no,yes,no,cellular,apr,thu,377,1,1019,1,failure,-1.8,97.26,-46.77,1.37,5088.9,no,1,0.5156806,0
20889,39,services,divorced,basic.6y,no,yes,no,telephone,may,tue,576,2,9,1,success,-1.8,90.01,-45.87,1.28,5155.19,yes,0,0.26356292,1
3352,39,admin.,married,high.school,no,no,no,cellular,may,mon,263,1,954,1,failure,-1.8,94.99,-41.4,3.12,5312.96,yes,0,0.047255788,1
9321,53,blue-collar,married,basic.9y,no,no,no,cellular,nov,mon,1105,1,1041,0,nonexistent,-0.1,96.36,-39.98,4.19,5102.27,yes,0,0.24091245,1
9247,33,blue-collar,divorced,professional.course,no,no,no,telephone,jun,thu,914,3,991,0,nonexistent,1.4,91.91,-39.7,5.0,5060.8,yes,0,0.47787073,1
3109,44,admin.,married,high.school,no,no,no,cellular,apr,mon,199,3,1030,0,nonexistent,-1.8,94.49,-33.35,0.65,4833.39,yes,0,0.22773065,1
3735,33,technician,married,professional.course,no,no,no,telephone,mar,thu,289,1,5,1,success,-1.8,89.26,-36.01,0.66,5013.7,no,1,0.940638,0
21979,66,retired,single,high.school,unknown,no,unknown,cellular,mar,fri,788,29,960,0,nonexistent,-1.8,97.25,-48.37,1.26,5134.79,no,1,0.82034916,0
13679,61,unknown,married,university.degree,yes,no,unknown,telephone,dec,tue,244,12,1019,0,nonexistent,1.4,95.98,-41.03,4.86,5076.48,no,1,0.6343693,0
14814,45,admin.,married,university.degree,no,yes,no,cellular,nov,mon,420,0,872,1,nonexistent,-1.1,90.16,-33.72,4.89,5024.93,yes,0,0.43147698,1
20365,33,blue-collar,single,basic.9y,no,yes,no,cellular,nov,thu,277,1,993,1,failure,-0.1,95.06,-41.28,3.89,5216.58,yes,0,0.03282825,1
492,27,admin.,single,high.school,no,yes,no,cellular,may,thu,1121,2,741,3,nonexistent,-1.8,89.89,-51.57,1.64,5080.48,yes,0,0.15699187,1
20757,48,admin.,married,university.degree,no,yes,no,cellular,dec,mon,335,4,6,2,success,-3.0,97.34,-33.52,0.74,5239.51,no,1,0.8222955,0
2749,90,admin.,unknown,unknown,unknown,no,yes,cellular,nov,mon,402,24,1030,0,nonexistent,-1.8,93.3,-49.4,1.69,4946.12,no,1,0.5398548,0
13873,57,unemployed,single,illiterate,yes,unknown,unknown,cellular,oct,thu,1491,37,957,2,success,-1.8,92.96,-29.13,0.8,5051.32,no,1,0.53962755,0
11185,31,technician,single,university.degree,no,no,no,telephone,jul,thu,1703,1,461,2,success,-1.7,92.52,-28.85,4.42,5346.05,yes,0,0.33497506,1
10926,59,student,unknown,illiterate,unknown,yes,unknown,telephone,jul,mon,310,42,4,2,success,-1.7,92.42,-41.02,0.85,4951.66,no,1,0.9012357,0
2253,24,unknown,single,university.degree,no,yes,no,telephone,apr,thu,694,1,1035,0,nonexistent,-1.8,90.46,-48.27,1.35,4920.63,yes,0,0.44412574,1
4772,27,unemployed,unknown,professional.course,no,yes,no,telephone,mar,mon,373,38,975,1,failure,-1.8,98.03,-35.46,0.64,5128.9,no,1,0.65780795,0
14766,69,retired,married,university.degree,no,yes,no,cellular,jul,mon,4844,1,950,3,nonexistent,-1.7,95.5,-28.07,0.95,4941.51,yes,0,0.4214981,1
14143,34,services,married,professional.course,no,yes,yes,cellular,jul,thu,3475,3,534,6,success,1.4,98.95,-41.72,3.96,5188.95,yes,0,0.046349723,1
2859,34,admin.,single,high.school,no,unknown,unknown,cellular,may,fri,4281,1,550,0,failure,-1.8,92.39,-33.26,3.63,5319.03,yes,0,0.07181634,1
13070,49,self-employed,married,high.school,no,no,no,cellular,may,fri,534,2,1034,0,nonexistent,-1.8,91.68,-48.23,1.23,5267.37,yes,0,0.24258812,1
2648,30,management,married,university.degree,no,no,yes,cellular,jul,mon,862,5,997,0,nonexistent,1.4,93.63,-42.23,4.82,5479.04,no,1,0.58033,0
20289,72,unknown,unknown,basic.6y,yes,no,unknown,telephone,aug,wed,139,11,992,1,failure,-1.8,96.98,-47.77,1.2,5134.79,no,1,0.6752522,0
4060,49,blue-collar,divorced,basic.6y,unknown,no,no,cellular,jul,mon,1022,2,952,0,nonexistent,1.4,94.38,-40.77,5.16,5280.38,yes,0,0.48593116,1
2409,70,entrepreneur,married,high.school,unknown,unknown,unknown,telephone,mar,wed,12,32,995,0,nonexistent,1.4,91.28,-42.7,4.77,5447.68,yes,0,0.20975019,1
4700,61,retired,unknown,high.school,unknown,no,no,telephone,may,mon,78,28,1027,1,failure,-1.8,90.57,-44.62,1.3,5328.55,yes,0,0.18760298,1
17595,23,technician,single,professional.course,no,unknown,unknown,cellular,may,wed,3824,2,468,6,nonexistent,-1.8,95.08,-43.31,1.78,4832.99,yes,0,0.080318555,1
11417,49,entrepreneur,married,illiterate,no,yes,no,cellular,apr,thu,3245,2,616,1,success,-1.8,95.46,-44.83,3.36,5065.59,yes,0,0.23925202,1
16400,56,unknown,married,basic.4y,no,yes,no,cellular,aug,tue,668,9,1033,0,nonexistent,1.4,91.38,-37.25,5.2,5149.67,yes,0,0.41061813,1
2251,61,technician,married,professional.course,yes,no,yes,cellular,may,fri,156,27,966,0,nonexistent,-2.9,95.52,-32.71,0.91,4862.99,yes,0,0.308945,1
5924,34,admin.,single,high.school,no,yes,yes,cellular,apr,tue,371,1,827,4,success,-1.8,94.53,-44.93,3.02,5087.5,yes,0,0.20679973,1
3483,51,technician,married,high.school,no,yes,no,telephone,may,fri,3584,2,391,1,success,1.1,93.27,-39.24,4.26,5249.84,yes,0,0.020805273,1
1699,37,technician,married,professional.course,no,unknown,unknown,telephone,aug,mon,1388,1,182,4,nonexistent,-2.9,90.42,-46.17,2.66,5179.25,yes,0,0.20782067,1
5793,37,blue-collar,married,basic.9y,no,yes,yes,cellular,may,tue,508,0,1025,0,nonexistent,-1.8,96.6,-45.5,1.35,4854.34,yes,0,0.23449618,1
15759,33,student,single,high.school,no,yes,no,cellular,jul,thu,1020,2,851,5,success,1.4,94.85,-50.05,1.17,5072.48,yes,0,0.10707627,1
6016,42,admin.,single,high.school,no,yes,no,cellular,aug,mon,1484,1,187,1,nonexistent,-2.9,97.28,-45.79,3.32,5280.51,yes,0,0.37669265,1
2948,25,housemaid,divorced,basic.9y,no,yes,no,telephone,jun,fri,2082,49,461,2,failure,1.4,88.95,-49.82,3.78,4972.73,yes,0,0.16982187,1
16646,48,management,married,high.school,no,no,no,cellular,jul,tue,723,0,966,0,nonexistent,1.4,92.88,-43.85,5.03,5039.88,yes,0,0.23190175,1
3616,69,retired,divorced,professional.course,no,yes,no,telephone,sep,wed,445,4,808,4,failure,-1.1,93.56,-41.4,3.1,4894.68,no,1,0.5090948,0
3275,55,blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,fri,919,1,245,2,success,1.4,93.41,-41.19,4.3,4891.67,yes,0,0.06345569,1
6025,28,student,single,unknown,no,yes,no,cellular,mar,tue,3481,1,86,5,nonexistent,-1.8,95.25,-32.33,3.91,5052.68,yes,0,0.36011907,1
21793,73,unknown,married,unknown,unknown,no,yes,cellular,nov,mon,2359,44,178,5,success,1.1,91.04,-33.4,0.71,5332.76,yes,0,0.40901116,1
10990,32,admin.,single,high.school,no,no,no,cellular,nov,wed,175,1,187,1,failure,-0.1,94.81,-39.9,0.73,5293.19,yes,0,0.03435063,1
1035,49,blue-collar,married,basic.9y,unknown,no,no,cellular,aug,wed,610,1,1029,0,nonexistent,1.4,95.78,-37.83,5.09,5081.71,yes,0,0.1544158,1
17039,30,admin.,single,high.school,no,no,no,cellular,jul,tue,4098,0,683,4,success,-1.7,88.76,-34.94,4.7,5081.24,yes,0,0.49861303,1
12320,36,unemployed,married,unknown,yes,unknown,yes,cellular,nov,wed,114,29,1024,0,nonexistent,1.4,90.82,-36.24,4.81,5364.03,yes,0,0.2110574,1
14195,40,technician,single,professional.course,no,yes,no,cellular,may,fri,4584,0,207,4,nonexistent,-1.8,88.61,-47.68,3.72,5228.59,yes,0,0.09523403,1
18150,32,admin.,single,university.degree,unknown,no,no,cellular,aug,mon,1077,3,979,0,nonexistent,1.4,90.08,-37.43,4.8,5384.94,no,1,0.5549139,0
17181,54,unknown,married,university.degree,no,yes,no,cellular,aug,wed,166,1,956,0,nonexistent,-2.9,93.49,-32.65,0.81,5137.11,yes,0,0.16075838,1
22032,52,retired,married,basic.4y,no,yes,no,cellular,apr,fri,355,3,804,3,nonexistent,-1.8,95.62,-38.19,4.37,4819.28,yes,0,0.13803965,1
9734,23,admin.,single,university.degree,no,yes,no,cellular,mar,wed,151,1,1022,1,failure,-1.8,94.76,-33.79,0.65,4823.37,yes,0,0.4044411,1
18860,38,admin.,single,university.degree,no,yes,no,telephone,may,thu,857,1,1001,0,nonexistent,1.1,95.77,-36.94,4.82,5279.24,yes,0,0.32664147,1
4200,54,blue-collar,married,basic.4y,no,yes,no,cellular,jul,fri,613,0,996,0,nonexistent,1.4,96.26,-40.69,4.9,5327.43,yes,0,0.174072,1
4820,35,entrepreneur,married,high.school,no,no,no,cellular,jul,wed,1078,4,976,0,nonexistent,-2.9,92.28,-32.25,0.92,5258.94,yes,0,0.48335558,1
15710,34,technician,divorced,professional.course,no,yes,no,cellular,apr,wed,604,1,949,0,nonexistent,-1.8,95.58,-44.74,1.41,5211.28,no,1,0.5126292,0
15923,48,management,divorced,high.school,unknown,yes,yes,cellular,jun,thu,4133,12,18,2,nonexistent,1.4,91.02,-42.41,0.96,5239.46,yes,0,0.041366752,1
12681,33,admin.,single,university.degree,no,yes,no,cellular,jul,mon,280,0,992,1,failure,-1.7,97.41,-39.33,0.85,5076.45,no,1,0.5259949,0
12011,53,retired,married,basic.4y,no,no,no,cellular,mar,wed,975,2,81,2,nonexistent,-1.8,97.02,-35.69,4.74,5169.79,no,1,0.60821974,0
11468,22,student,single,high.school,unknown,yes,yes,telephone,may,thu,223,1,0,1,success,-1.8,90.49,-39.64,0.71,5173.98,yes,0,0.46883416,1
12806,48,blue-collar,married,unknown,unknown,no,no,telephone,aug,thu,778,12,1019,0,nonexistent,1.4,89.23,-36.93,4.95,5264.69,yes,0,0.21544704,1
7835,36,technician,married,professional.course,no,yes,no,cellular,mar,fri,4769,1,717,2,nonexistent,-1.8,93.91,-29.19,4.66,5156.57,yes,0,0.4728909,1
2112,55,admin.,single,university.degree,unknown,unknown,unknown,cellular,oct,wed,1305,45,770,4,failure,1.4,92.5,-36.14,4.68,5238.29,yes,0,0.43538544,1
16139,50,blue-collar,single,basic.6y,unknown,yes,no,cellular,jul,thu,612,2,949,0,nonexistent,1.4,90.91,-44.15,4.74,5107.85,yes,0,0.20443258,1
10348,25,services,single,high.school,no,yes,no,cellular,jun,thu,3292,1,900,1,failure,-2.9,89.01,-32.75,2.99,5134.28,yes,0,0.31675977,1
18879,28,admin.,single,university.degree,no,no,no,cellular,oct,thu,1825,0,374,6,success,-1.1,95.17,-48.52,2.65,5024.63,no,1,0.5932889,0
7176,42,services,married,high.school,no,yes,yes,cellular,may,mon,271,1,949,1,failure,-1.8,89.92,-44.67,1.28,5348.95,yes,0,0.02045355,1
8949,55,services,married,high.school,no,yes,no,cellular,aug,thu,811,9,997,0,nonexistent,1.4,91.57,-35.01,5.18,5259.46,yes,0,0.3301009,1
13940,31,admin.,single,high.school,no,no,no,cellular,may,thu,3433,1,418,2,failure,-1.8,90.55,-40.84,2.29,5157.96,yes,0,0.105570965,1
12139,32,management,unknown,basic.9y,yes,no,unknown,telephone,apr,tue,130,39,962,1,failure,-1.8,90.74,-48.08,1.42,4935.92,no,1,0.6773467,0
12189,31,admin.,married,university.degree,no,yes,no,cellular,jun,mon,301,1,970,0,nonexistent,-2.9,93.33,-39.2,1.2,4822.38,yes,0,0.48505157,1
6563,24,unknown,single,university.degree,no,yes,yes,cellular,jun,tue,667,1,951,2,failure,-2.9,95.1,-40.26,1.21,4852.84,no,1,0.59177464,0
15953,30,admin.,single,university.degree,no,no,no,cellular,nov,fri,321,1,958,0,nonexistent,-0.1,96.27,-41.79,3.95,5159.42,yes,0,0.029765759,1
2169,45,unemployed,married,basic.9y,no,no,no,cellular,sep,fri,2148,1,166,6,success,-1.1,94.81,-44.49,0.66,4725.92,yes,0,0.1580761,1
12351,93,housemaid,divorced,high.school,unknown,unknown,unknown,cellular,jul,wed,1619,25,442,1,success,1.4,88.72,-37.46,2.11,4854.75,no,1,0.6177107,0
18236,38,admin.,single,high.school,no,yes,no,cellular,oct,fri,132,0,982,0,nonexistent,-3.4,92.61,-27.27,0.72,5178.06,no,1,0.5228083,0
